Date,ALI=F,GC=F,HG=F,SI=F,ZN=F
2019-07-29,1832.5,1445.5999755859375,2.565000057220459,16.222000122070312,128.859375
2019-08-05,1842.0,1496.5999755859375,2.5840001106262207,16.89699935913086,129.6875
2019-08-12,1857.25,1512.5,2.5899999141693115,17.09600067138672,130.921875
2019-08-19,1823.75,1526.5999755859375,2.5260000228881836,17.395000457763672,130.953125
2019-08-26,1758.0,1519.0999755859375,2.5329999923706055,18.184999465942383,131.046875
2019-09-02,1788.75,1506.199951171875,2.615499973297119,17.968000411987305,130.734375
2019-09-09,1807.0,1490.9000244140625,2.680999994277954,17.43600082397461,128.078125
2019-09-16,1800.5,1507.300048828125,2.5899999141693115,17.738000869750977,129.6875
2019-09-23,1748.25,1499.0999755859375,2.5829999446868896,17.552000045776367,130.390625
2019-09-30,1719.5,1506.199951171875,2.555500030517578,17.540000915527344,131.90625
2019-10-07,1717.25,1482.699951171875,2.618499994277954,17.461999893188477,129.875
2019-10-14,1746.5,1488.199951171875,2.625,17.50200080871582,130.03125
2019-10-21,1740.5,1499.5,2.6665000915527344,17.861000061035156,129.53125
2019-10-28,1794.0,1508.0,2.6510000228881836,18.003999710083008,130.015625
2019-11-04,1818.25,1461.300048828125,2.677999973297119,16.783000946044922,128.390625
2019-11-11,1754.0,1467.300048828125,2.634999990463257,16.933000564575195,129.140625
2019-11-18,1757.5,1463.0999755859375,2.6475000381469727,16.985000610351562,129.453125
2019-11-25,1785.0,1465.5999755859375,2.6419999599456787,16.9689998626709,129.296875
2019-12-02,1770.5,1459.0999755859375,2.7109999656677246,16.481000900268555,128.90625
2019-12-09,1777.0,1475.5999755859375,2.7804999351501465,16.91200065612793,129.09375
2019-12-16,1808.25,1474.699951171875,2.811000108718872,17.128000259399414,128.25
2019-12-23,1835.5,1513.800048828125,2.8364999294281006,17.849000930786133,128.65625
2019-12-30,1830.0,1549.199951171875,2.7985000610351562,18.06800079345703,129.390625
2020-01-06,1811.5,1557.5,2.81850004196167,18.033000946044922,129.078125
2020-01-13,1809.25,1558.800048828125,2.8494999408721924,18.01300048828125,129.046875
2020-01-20,1786.0,1571.0999755859375,2.685499906539917,18.05699920654297,130.28125
2020-01-27,1741.75,1582.9000244140625,2.5199999809265137,17.972000122070312,131.65625
2020-02-03,1737.0,1568.5999755859375,2.559000015258789,17.665000915527344,131.078125
2020-02-10,1739.5,1582.699951171875,2.6054999828338623,17.71500015258789,130.984375
2020-02-17,1704.0,1644.5999755859375,2.618000030517578,18.520999908447266,131.859375
2020-02-24,1684.0,1564.0999755859375,2.5460000038146973,16.386999130249023,134.84375
2020-03-02,1675.25,1670.800048828125,2.572999954223633,17.214000701904297,138.046875
2020-03-09,1668.0,1515.699951171875,2.4739999771118164,14.456000328063965,135.796875
2020-03-16,1588.25,1484.0,2.190500020980835,12.348999977111816,136.5
2020-03-23,1539.0,1623.9000244140625,2.197000026702881,14.498000144958496,138.265625
2020-03-30,1478.0,1633.699951171875,2.2100000381469727,14.435999870300293,139.140625
2020-04-06,1460.25,1736.199951171875,2.2774999141693115,15.994999885559082,138.25
2020-04-13,1502.5,1689.199951171875,2.3534998893737793,15.237000465393066,138.890625
2020-04-20,1499.5,1723.5,2.3480000495910645,15.253999710083008,139.109375
2020-04-27,1489.5,1694.5,2.31850004196167,14.86299991607666,138.875
2020-05-04,1479.25,1709.9000244140625,2.4084999561309814,15.739999771118164,138.953125
2020-05-11,1467.5,1753.4000244140625,2.3334999084472656,17.04599952697754,139.328125
2020-05-18,1489.75,1734.5999755859375,2.4089999198913574,17.663999557495117,139.15625
2020-05-25,1532.25,1736.9000244140625,2.426500082015991,18.440000534057617,139.375
2020-06-01,1596.75,1676.199951171875,2.556999921798706,17.44300079345703,137.546875
2020-06-08,1604.0,1729.300048828125,2.6015000343322754,17.461999893188477,139.109375
2020-06-15,1585.5,1745.9000244140625,2.615000009536743,17.832000732421875,139.15625
2020-06-22,1588.5,1772.5,2.671999931335449,18.023000717163086,139.21875
2020-06-29,1617.75,1784.0,2.7335000038146973,18.243999481201172,139.09375
2020-07-06,1654.5,1798.199951171875,2.88700008392334,18.982999801635742,139.21875
2020-07-13,1632.0,1808.300048828125,2.887500047683716,19.684999465942383,139.359375
2020-07-20,1660.25,1897.300048828125,2.881999969482422,22.808000564575195,139.578125
2020-07-27,1693.0,1962.800048828125,2.8589999675750732,24.18899917602539,140.078125
2020-08-03,1753.25,2010.0999755859375,2.7904999256134033,27.533000946044922,139.953125
2020-08-10,1704.75,1937.0,2.8559999465942383,26.065000534057617,139.125
2020-08-17,1746.0,1934.5999755859375,2.9135000705718994,26.707000732421875,139.5625
2020-08-24,1777.25,1964.5999755859375,2.994999885559082,27.610000610351562,139.25
2020-08-31,1769.25,1923.9000244140625,3.0464999675750732,26.576000213623047,139.203125
2020-09-07,1764.5,1937.800048828125,3.0339999198913574,26.73900032043457,139.765625
2020-09-14,1771.75,1952.0999755859375,3.1135001182556152,27.027999877929688,139.609375
2020-09-21,1743.75,1857.699951171875,2.9730000495910645,23.017000198364258,139.640625
2020-09-28,1781.0,1900.199951171875,2.9784998893737793,23.97100067138672,139.4375
2020-10-05,1870.5,1919.5,3.0794999599456787,25.069000244140625,138.828125
2020-10-12,1871.75,1900.800048828125,3.065000057220459,24.368999481201172,139.0625
2020-10-19,1845.5,1902.0,3.125499963760376,24.62700080871582,138.359375
2020-10-26,1830.25,1877.4000244140625,3.0434999465942383,23.617000579833984,138.21875
2020-11-02,1905.25,1950.300048828125,3.1489999294281006,25.645999908447266,138.546875
